ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Arvel,Jakubowski,cristian@example.net,1-649-569-3015 x3173,(112) 869-1898,Littel and Homenick LLC,Jonatan Ward,Becker and Okuneva LLC,Leffler Spur,47034,Port Gia Harber shire,Washington,73841,Uganda,CAD,$121626,2023-03-21,Inactive,Melvina McGlynn,14,"molestias, at","odio, qui",Master's Degree,
EMP0002,Kyle,Williamson,derick@example.com,808.709.3214 x98525,639-757-1311,Runolfsdottir and Sons,Carley Wiegand,Krajcik LLC,John Road,671,Zemlak port,Kentucky,6324,Heard Island and McDonald Islands,HUF,$31851,2021-01-29,Active,Bernard Carter,8,quia,"autem, est",Bachelor's Degree,
EMP0003,Sunny,Keebler,dameon@example.com,(576) 589-1879,1-225-712-4622,Blick and Smith and Sons,Daphne Walsh,Leuschke and Rutherford Inc,Mosciski Lakes,075,Dickinson port,North Carolina,42073,Switzerland,UGX,$121577,2019-10-08,Inactive,Norberto Bashirian,17,tempora,"reprehenderit, dolores",Bachelor's Degree,eum
EMP0004,Sebastian,Quitzon,bertrand@example.net,780.069.3625,1-358-864-1215,Pagac LLC,Arnulfo Hettinger,Heaney LLC,Cassin Port,227,Douglas burgh,North Dakota,92553,Lithuania,CDF,$71768,2020-02-01,Inactive,Sidney Wunsch,2,eaque,"veniam, provident, voluptate",Master's Degree,
EMP0005,Camden,Dare,johathan@example.org,470.531.5450 x68565,960-474-0607,Cummings LLC,Leanne Langworth,Gutmann and Howe LLC,Grant Square,588,Muller view,Hawaii,8775,Cape Verde,BWP,$112256,2017-06-20,Active,Candice Predovic,10,sint,"nisi, ipsam, nihil",Bachelor's Degree,sint
EMP0006,Elroy,Hintz,dina@example.org,739.104.6374 x7174,265-681-5222,Grady Group,Alexandra Macejkovic,Berge Group,Yasmin Green,167,Schinner mouth,New York,7672,Brunei Darussalam,BND,$70926,2023-01-11,Active,Johnson Jacobson,7,"consequatur, quia","omnis, ut",Master's Degree,
EMP0007,Lupe,Hoppe,michaela@example.net,930.516.7941 x040,1-403-048-6172,Leuschke and O'Connell Group,Elenor MacGyver,Treutel and Schaden Group,Astrid Plaza,4220,Ryan ton,Wisconsin,6210,Germany,ZMK,$111177,2022-10-17,Active,Ruby Balistreri,2,"a, tenetur","consequatur, non",Bachelor's Degree,aut
EMP0008,Abigale,Zulauf,saige@example.org,(780) 219-6858 x815,101.547.3853,Morar Inc,Heidi Runolfsdottir,Schuster Inc,Jorge Crossing,201,Brooklyn land,Oklahoma,929,Cook Islands,BDT,$126220,2024-12-04,Inactive,Wilson Ullrich,2,velit,"ut, quaerat",Bachelor's Degree,neque
EMP0009,Madisen,Lehner,skyla@example.net,810.919.9965,(803) 004-1947,Monahan and Russel Group,Natalia Weimann,Harber Inc,Koch Canyon,295,Yundt town,Minnesota,042,Myanmar,TJS,$138873,2022-07-28,Active,Karolann Durgan,1,"necessitatibus, omnis","consequuntur, odit, enim",Bachelor's Degree,
EMP0010,Reanna,Mitchell,gus@example.net,1-973-313-0587 x11138,1-419-648-9113,Champlin and Halvorson LLC,Samantha Kiehn,Farrell LLC,Bashirian Lane,9330,Wisoky land,North Carolina,281,Tonga,SHP,$139784,2021-01-21,Inactive,Tristin Lind,12,omnis,"mollitia, dolor",Bachelor's Degree,magni
