ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Ernesto,Fahey,lelah@example.com,894-960-1355,1-385-114-5568,Windler and Sawayn LLC,Renee Daugherty,Cruickshank Group,Berge Underpass,45096,Kovacek ville,Illinois,23372,Afghanistan,XPT,$86236,2022-07-18,Inactive,Nadia VonRueden,9,possimus,"dolore, atque, suscipit",Master's Degree,
EMP0002,Ashlee,Prosacco,adella@example.net,1-552-606-4486 x838,(727) 277-7198,Klocko and Hackett LLC,Mose Baumbach,Tillman and Sons,Lueilwitz Motorway,34018,Morar shire,Maine,735,Saint Barthelemy,BND,$137911,2023-06-26,Inactive,Mabelle Volkman,9,id,"quia, similique, voluptas",Bachelor's Degree,
EMP0003,Brooks,Hahn,kody@example.com,746.101.4342 x495,(815) 406-1671,Marks LLC,Ava Kuhn,Marvin and Bailey Inc,Hettinger Overpass,60857,South Molly Conn mouth,North Dakota,391,Bulgaria,SEK,$132550,2025-11-05,Active,Laura Walker,7,"corrupti, eligendi","id, et",Bachelor's Degree,et
EMP0004,Gabriel,Rath,elisabeth@example.net,(725) 978-4000 x950,1-184-448-6268,Swaniawski and Predovic Group,Fae Johnson,Armstrong Inc,Wisoky Crescent,056,Quigley shire,Louisiana,424,Brunei Darussalam,TRY,$51393,2023-02-17,Inactive,Joseph Harris,5,"nostrum, at","ratione, dolorum",Bachelor's Degree,
EMP0005,Kenneth,Becker,ardith@example.com,915.392.2867 x44371,1-710-286-5170,Bosco and Armstrong Group,Anibal Harber,Kreiger and Sons,Balistreri Place,7789,Torphy haven,Idaho,6071,Philippines,FJD,$44830,2025-04-01,Active,Keara Price,16,deserunt,"asperiores, unde, maiores",Master's Degree,
EMP0006,Bulah,Prohaska,cecilia@example.com,1-199-078-8759 x50679,315.856.0649,Hane and Nolan LLC,Nicolas Reynolds,Corkery and Sons,Rowe Wall,960,Runte town,Montana,85855,Kyrgyz Republic,CRC,$38680,2020-04-29,Inactive,Hector Reilly,19,cum,"aliquam, cum",Master's Degree,
EMP0007,Mac,Huels,jazmin@example.org,(333) 613-4442 x87597,1-772-627-5668,Abbott Group,Edward Thiel,Schamberger Inc,Schimmel Loop,144,Aufderhar town,Vermont,7739,Cocos (Keeling) Islands,DZD,$59782,2023-01-11,Inactive,Ivy Kub,11,rerum,"hic, velit, dolor",Bachelor's Degree,
EMP0008,Van,Stokes,janiya@example.org,(960) 702-6914 x051,(133) 977-0432,Shields and Hettinger Group,Destany Gutmann,Marks Group,Casper Island,83716,East Destini Runolfsdottir town,North Carolina,1925,United States of America,INR,$34331,2018-06-18,Active,Hiram Kuhn,9,qui,"neque, amet, qui",Master's Degree,
EMP0009,Eryn,Lebsack,estelle@example.org,790-129-5870 x0432,(469) 502-8673,Wilkinson and Torp Group,Dolly West,Stiedemann and Bogisich Group,Cole Garden,29026,Wuckert port,South Dakota,06722,Zambia,CAD,$40663,2021-05-01,Inactive,Finn Heathcote,8,"reiciendis, vel","maxime, expedita, neque",Master's Degree,
EMP0010,Jessyca,Graham,tanner@example.org,1-591-611-7916 x883,(241) 218-0470,Dach and Fisher Group,Haley Kassulke,Stiedemann and Cremin and Sons,Casper Cliffs,51302,New Richie Botsford fort,Rhode Island,268,Jersey,GBP,$100129,2023-03-04,Active,Celestino Gibson,15,nesciunt,"enim, repellat",Bachelor's Degree,ut
