ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Jacklyn,Price,rolando@example.org,490-769-2419 x479,1-532-545-7228,Wisozk LLC,Myrtie Lakin,Bergnaum and Beatty Inc,Agustina Meadow,96566,Taya town,Michigan,85394,Uganda,KGS,$122568,2021-03-20,Inactive,Edison Schroeder,1,quod,"eligendi, aut",Master's Degree,
EMP0002,Adela,Rowe,kamron@example.org,707-657-2258 x6525,128.605.1153,Dach Group,Elmo Nikolaus,Daniel Group,Helen Run,8283,Conn port,Michigan,64354,New Zealand,QAR,$47175,2024-05-07,Inactive,Kaitlyn Streich,13,asperiores,"porro, neque, quisquam",Master's Degree,
EMP0003,Maximillia,Labadie,oren@example.com,273-585-8197 x3409,944-375-9414,O'Conner Inc,Lavinia Koch,Kohler LLC,Powlowski Curve,01324,Upton port,New Mexico,94669,Cameroon,NIO,$122385,2016-07-31,Active,Hollie Bogisich,14,"quos, vel","pariatur, est",Master's Degree,
EMP0004,Arne,Kessler,spencer@example.org,(153) 506-9598 x35163,390.027.0647,Murphy and Feil Group,Cletus Rosenbaum,Crona and Murphy and Sons,Damaris Pike,596,Sierra view,Idaho,2872,Croatia,RWF,$52885,2022-06-22,Active,Torey Brown,10,architecto,"qui, qui, autem",Bachelor's Degree,vero
EMP0005,Queenie,Morissette,tabitha@example.com,223.427.8529 x299,655-276-6973,Schroeder and Howell LLC,Brandyn Gleichner,Stiedemann and Daugherty and Sons,Satterfield Viaduct,6756,Marco fort,Mississippi,938,Marshall Islands,XBA,$118270,2019-10-07,Active,Jewell Emard,7,"temporibus, cupiditate","similique, voluptatem, veniam",Master's Degree,
EMP0006,Adolfo,Walter,alberta@example.com,584.975.8067 x71703,(802) 064-5601,Jaskolski and Brakus Group,Rashad McGlynn,Reichert Inc,Conroy Mountain,481,Hegmann ville,West Virginia,9415,Israel,BAM,$100785,2021-04-17,Inactive,Esperanza Conroy,13,"pariatur, minus","temporibus, voluptates, est",Bachelor's Degree,
EMP0007,Thalia,Schuppe,claudine@example.org,1-611-982-6656,752-781-4002,Okuneva Inc,Nathan Littel,Ratke Group,Schmitt Views,446,Labadie bury,Oklahoma,0503,Trinidad and Tobago,INR,$135888,2023-02-18,Active,Elena Goldner,15,praesentium,"dicta, et, rem",Bachelor's Degree,
EMP0008,Lawrence,Parisian,hipolito@example.net,(952) 960-6044 x6769,(290) 680-5412,O'Keefe LLC,Nya Price,Rice and Hand Group,Schuppe Ridge,3593,South Jon Steuber bury,New Mexico,64209,Latvia,INR,$140259,2016-02-02,Active,Tatyana Hermann,4,excepturi,"placeat, fugit, sequi",Bachelor's Degree,
EMP0009,Kathlyn,Hintz,adrianna@example.org,378.509.3788 x89754,841-692-7980,Heller LLC,Chauncey McKenzie,Flatley Group,Wayne Motorway,0767,Prosacco mouth,Virginia,997,Ireland,HTG,$75782,"this is not a date",Active,Treva Walsh,18,"vel, modi","dolore, veniam, similique",Bachelor's Degree,
EMP0010,Allison,Mills,vicente@example.net,1-540-289-2280,399-469-0156,Kuhlman Group,Margaretta White,Heidenreich and Sons,Fletcher Gardens,46222,Jakob burgh,North Dakota,3526,Libyan Arab Jamahiriya,CNY,$85818,2024-01-22,Inactive,Murray Moen,11,non,"velit, dolorum",Bachelor's Degree,reiciendis
