ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Bud,Smitham,elian@example.net,699-688-0462 x0161,1-570-516-6604,Orn LLC,Danyka Ryan,Abshire and Champlin and Sons,Herman Oval,609,Port Oma Marquardt view,Ohio,415,Central African Republic,ZMK,$73023,2022-06-07,Active,Ulices Collier,12,fuga,"omnis, inventore, et",Bachelor's Degree,minima
EMP0002,Willard,Green,lorna@example.org,472-687-7469 x19631,347-028-5726,Stiedemann and Runolfsson Inc,Macie Kilback,Wolf Inc,Wintheiser Port,715,Durgan berg,Oregon,9712,Saint Martin,XPT,$62109,2025-09-15,Inactive,Tomasa Windler,1,et,"eum, dicta, totam",Master's Degree,
EMP0003,Edgar,Altenwerth,caroline@example.org,1-306-625-6857 x9543,958-900-5279,Greenholt and Eichmann Inc,Johnson Brakus,Bode and Ratke LLC,Electa Square,8379,North Leonardo Quigley chester,Hawaii,34397,Dominica,SBD,$50491,2023-04-10,Active,Coleman Hoeger,18,libero,"explicabo, vel, quibusdam",Master's Degree,assumenda
EMP0004,Nichole,Schumm,dewitt@example.org,(276) 479-8102,883.106.8491,Koch and Moore LLC,Alda Kautzer,Hegmann and Sons,Goyette Port,184,Abernathy borough,Ohio,7992,Mongolia,SGD,$58787,2025-09-12,Inactive,Morton Ziemann,12,voluptates,"odio, quis",Bachelor's Degree,
EMP0005,Waylon,Legros,kory@example.com,938-441-3244 x3438,106.393.8318,Littel and Sons,Destinee Hyatt,Collier and Torp and Sons,Bradtke Forges,5231,Bechtelar view,Minnesota,55585,Suriname,JPY,$120596,2023-11-18,Inactive,Vergie Erdman,19,"recusandae, nihil","rerum, temporibus, illum",Master's Degree,
EMP0006,Eudora,Wolf,darlene@example.org,819-578-0360,228.929.5636,Murray Inc,Effie Feest,Mayert Group,Alvis Flat,3621,South Shawna Thompson land,Alabama,069,Uruguay,ISK,$144783,2024-11-29,Active,Aaron Kassulke,4,a,"voluptates, corporis",Master's Degree,
EMP0007,Karson,Grimes,connie@example.net,(319) 467-4726 x047,1-868-573-5997,Herman Inc,Jessyca DuBuque,MacGyver LLC,Emmett Vista,592,Turner chester,New Mexico,7247,Iceland,IQD,$34103,2023-08-03,Inactive,Kelton Streich,19,id,"cupiditate, error, qui",Master's Degree,est
EMP0008,Garrett,Fadel,claudie@example.net,942-005-5018 x1375,803.306.0053,Corkery and Sons,Effie Gusikowski,Hilpert and Price LLC,Maximo Road,749,Russel bury,Vermont,816,Liberia,CAD,$109295,2016-07-20,Inactive,Vernice Mertz,17,"sit, et","quia, occaecati, ad",Master's Degree,
EMP0009,Alayna,Hand,brooks@example.org,635.265.3253 x33393,(493) 330-6451,Mosciski and Jast Group,Madonna Klein,Ullrich Inc,Orion Hills,7675,Howe port,Louisiana,8798,Tanzania,SBD,$132776,2021-02-23,Inactive,Murphy Flatley,6,qui,"facere, quos",Master's Degree,dolores
EMP0010,Carmela,Kub,tyrique@example.org,163-566-3623 x84511,1-751-577-7751,Hand and Price Inc,Annabell Dickens,Rippin and Mills Inc,Franco Roads,079,West Kamryn Buckridge bury,Mississippi,381,Lebanon,AMD,$68169,2018-12-31,Active,Lilian Little,5,"maxime, consequatur","perferendis, harum, quia",Bachelor's Degree,
