ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Dan,Haley,golden@example.com,147-732-7066 x403,1-851-091-4273,Bode and Roberts LLC,Eloise Streich,Prosacco and Ullrich Group,Effertz Prairie,4186,Port Adela Feest town,New Hampshire,240,Kazakhstan,MRO,$115481,,Inactive,Quentin Kling,5,"officiis, animi","harum, similique",Master's Degree,
EMP0002,Jude,Botsford,nathen@example.net,1-816-570-2054 x71135,978.644.1505,Satterfield and Sons,Zora Reichel,Prohaska and Rohan and Sons,Tillman Rest,97278,East Jessy Haag furt,Pennsylvania,70253,Burkina Faso,RON,$123375,2024-08-22,Inactive,Nia Cummings,8,"provident, pariatur","accusamus, quibusdam",Master's Degree,
EMP0003,Timmy,O'Keefe,isaias@example.net,271.468.0443 x8473,272.939.8629,Runte and Hayes Inc,Giovanni Pagac,Gleason and Fritsch Group,Lehner Point,248,Lake Dewayne Lockman mouth,Oregon,44469,Austria,LYD,$92493,2025-01-17,Inactive,Curt Johns,8,"et, magnam","id, et, facere",Bachelor's Degree,et
EMP0004,Miles,Anderson,annalise@example.com,190.969.5308,501.440.4133,Denesik LLC,Bettye Gottlieb,Brown and King Inc,Rozella Vista,54241,Shields stad,Nevada,8823,Greece,ARS,$133995,2018-02-09,Active,Lynn Blanda,11,aut,"expedita, corporis, inventore",Bachelor's Degree,non
EMP0005,Carlee,Eichmann,madie@example.com,225.741.9653 x05248,(960) 663-3193,Koepp Group,Ewald Parisian,Hermiston and Herzog and Sons,Wendell Harbor,850,Trantow port,Utah,26722,Holy See (Vatican City State),GHS,$80864,2025-03-05,Inactive,Vergie Abshire,7,"natus, quidem","aliquam, repudiandae, est",Bachelor's Degree,
EMP0006,Reba,Zieme,mavis@example.net,683.578.8162 x9804,(956) 898-8368,Toy LLC,Peggie Lowe,Ullrich LLC,Sheldon Rapids,20464,Schulist fort,Maryland,103,Cook Islands,ZAR,$62873,2022-11-16,Active,Josue Altenwerth,7,blanditiis,"corrupti, quo",Bachelor's Degree,dolorum
EMP0007,Amya,Stamm,kristina@example.org,109-103-4865,680.466.5760,Klein and Carroll Inc,Daron Gerhold,Parker Group,Mertz Shoals,8788,East Celia Predovic berg,Michigan,38745,Gambia,ARS,$54261,2023-01-15,Inactive,Arnaldo Brown,8,aspernatur,"voluptas, nam",Master's Degree,
EMP0008,Ally,Gutmann,jadon@example.com,788.347.0559 x19392,1-255-764-4885,Hand and Bradtke Group,Princess O'Reilly,Kihn and McCullough Inc,Bailey Lights,389,Tavares port,Florida,38008,Malaysia,LTL,$72299,2023-08-28,Inactive,Zoie Anderson,5,"ullam, incidunt","ut, doloribus",Master's Degree,
EMP0009,Quentin,Hahn,dora@example.com,(249) 583-6344 x7600,485-294-5991,Schaden and Bayer and Sons,Alanis Kuhic,Murray and Roob and Sons,Leuschke Fort,5550,Corkery view,Indiana,788,Eritrea,ZWL,$36272,2022-04-28,Inactive,Lola Kertzmann,15,natus,"rerum, qui, dignissimos",Master's Degree,
EMP0010,Rickey,Carter,sandrine@example.com,1-459-463-3111,780.154.8469,Bins Group,Aniyah Zulauf,Olson and Sons,Muller Manors,1044,Kohler mouth,Florida,76829,India,XAG,$33984,2020-08-07,Active,Tanya Morissette,5,"exercitationem, et","provident, sapiente",Master's Degree,
