ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Samir,Gislason,noe@example.net,1-250-060-7585,1-677-103-8855,West and Heller and Sons,Tyrique Sipes,Altenwerth and Denesik Inc,Telly Tunnel,98125,Dorothea fort,North Dakota,27491,Bouvet Island (Bouvetoya),NPR,$121539,2022-10-02,Inactive,Misael Abbott,4,"quia, vel","in, quae",Bachelor's Degree,
EMP0002,Norbert,Krajcik,corrine@example.org,(139) 226-8829 x17141,(839) 724-8708,Howell and Cummings Group,Drake Padberg,Dickens Group,Jazmyne Trafficway,80398,Port Woodrow Lesch mouth,California,698,Jersey,FKP,$102387,2024-11-23,Inactive,Aylin Buckridge,18,eaque,"praesentium, occaecati, nihil",Master's Degree,
EMP0003,Geo,Murphy,samson@example.com,901.730.8442 x37631,339.944.3352,Monahan and Moen Inc,Gonzalo Murphy,Ankunding and Sons,Bergnaum Creek,4583,East June Rogahn fort,Louisiana,8137,Japan,TJS,$133561,2019-02-20,Inactive,Jeramy Morissette,8,"nesciunt, ullam","consequatur, iure, aut",Master's Degree,et
EMP0004,Howell,Miller,stephon@example.net,932-538-7294,(679) 827-5424,Mohr and Considine Group,Andreane Osinski,Runte and Will and Sons,Stracke Rue,941,Langworth mouth,Minnesota,718,Iceland,GTQ,$45799,2016-07-08,Active,Alexandrea Schuster,5,doloribus,"ab, quas",Master's Degree,
EMP0005,Emmett,Gleason,armand@example.org,(143) 008-7946 x812,(560) 104-0896,Schiller and Lesch and Sons,Aliya Toy,Herzog and Sons,Mauricio Falls,7154,Gay berg,Missouri,746,Argentina,ISK,$81776,2025-08-28,Inactive,Pearl Beahan,7,"dolores, quos","eum, rerum",Bachelor's Degree,
EMP0006,Polly,Prohaska,lou@example.net,897-596-4251 x62950,1-913-483-8256,Price and Sons,Kris Bins,Crist and Durgan Group,Ed Motorway,145,Davion haven,Arizona,029,Pakistan,MKD,$68925,2020-01-17,Inactive,Suzanne Nienow,10,"inventore, quod","voluptatem, ut",Master's Degree,
EMP0007,Jodie,Cummings,veda@example.org,1-489-817-5503 x9819,1-392-326-6214,Murazik and Little Group,Sierra Rutherford,Schmitt and Torp and Sons,Cory Walk,754,Lake Clyde Schmeler ton,Arkansas,198,Liechtenstein,MDL,$89687,2021-04-04,Active,Lavonne Will,3,ullam,"aut, iusto, officiis",Master's Degree,
EMP0008,Ernestina,Ullrich,keshaun@example.org,(890) 475-5853 x9428,565.093.8735,Cummings Group,Liza Terry,Reichert LLC,Chaz Forest,17707,North Shyann Dibbert furt,Indiana,10007,Lesotho,BHD,$63069,2016-09-05,Active,Joesph West,5,"aspernatur, id","rerum, numquam",Bachelor's Degree,
EMP0009,Bianka,Satterfield,erich@example.org,890-722-2804 x07053,945-702-8699,Bechtelar and Boyer Inc,Felipe Schowalter,Gaylord Inc,Marquardt Radial,09104,Labadie fort,Texas,44762,Djibouti,UYU,$105424,2018-12-31,Inactive,Sabryna Hagenes,15,"officia, et","omnis, qui, in",Master's Degree,
EMP0010,Tania,Goyette,aditya@example.com,587-570-9906,1-284-258-1345,Jones and Feest Inc,Ines Fay,Haley and Kunde and Sons,Sarina Road,4990,Keebler borough,New Jersey,53510,Norway,MDL,$120448,2024-02-16,Active,Casper Auer,12,impedit,"quia, ut",Bachelor's Degree,
