ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Yvonne,Mraz,werner@example.org,369-898-9285 x3855,921-239-4561,Tromp Inc,Edyth Robel,Pacocha and Keebler LLC,Hoppe Run,69302,Kimberly mouth,Florida,73073,Chad,BGN,$86650,2023-10-27,Inactive,Theodore Orn,18,voluptatibus,"voluptas, dolor",Bachelor's Degree,
EMP0002,Krystel,Price,weston@example.com,(906) 634-5128 x4920,358.844.6534,Gusikowski and Moen and Sons,Kyleigh Cassin,Watsica and Kertzmann and Sons,Lemke Terrace,03706,Alicia borough,New Mexico,272,Kiribati,TND,$69519,2024-02-29,Active,Keon Runte,10,"laudantium, reprehenderit","ut, quae, dolorem",Bachelor's Degree,vel
EMP0003,Ebba,Dicki,dayna@example.org,(495) 679-8016 x305,816.000.0242,Marvin and Marvin Inc,Jacey Kuphal,Trantow and Hoeger Group,Stoltenberg Forges,985,McKenzie stad,Wyoming,74368,United States Minor Outlying Islands,KYD,$120594,2024-02-11,Inactive,Bradley Oberbrunner,15,"non, dolorem","corporis, eius",Bachelor's Degree,
EMP0004,Salma,Cremin,king@example.com,518-565-5797,1-813-217-4880,Carroll Inc,Kaia Goldner,Terry and Emmerich Inc,Lilly Walks,25002,Cullen mouth,Utah,22820,Egypt,XOF,$47552,2023-09-16,Inactive,Alva Hyatt,13,repellendus,"qui, fugiat, tenetur",Bachelor's Degree,
EMP0005,Gay,Bernier,lisandro@example.com,1-782-800-6501 x5352,1-841-375-5228,Fahey and Denesik Group,Sydni Powlowski,Wisozk Inc,Wiegand Cove,63728,West Sigmund Cruickshank chester,Wyoming,6216,Uzbekistan,XBD,$102653,2024-06-26,Inactive,Edison Daugherty,6,"rerum, fuga","rem, quas",Bachelor's Degree,
EMP0006,Anibal,Gleason,judy@example.net,1-579-951-8644 x092,243-902-8514,Brakus Inc,Geovany Hessel,Adams and Dibbert Inc,Ed Hill,3113,Lake Orland Dare town,Wyoming,237,Wallis and Futuna,IRR,$84143,2017-10-10,Inactive,Jayme Tillman,10,blanditiis,"soluta, aut, qui",Bachelor's Degree,
EMP0007,Cade,Keeling,lupe@example.net,118-948-0755 x346,(266) 802-3983,Gutkowski and Mante Inc,Sandra Kilback,Kertzmann Group,Colten Parkways,894,New Jarod Feest mouth,Wyoming,256,New Zealand,GEL,$72744,2018-05-11,Active,Yazmin Lindgren,3,"non, eveniet","non, incidunt, est",Master's Degree,
EMP0008,Colt,Hegmann,unique@example.com,561.130.0050 x304,1-721-105-4960,Wintheiser and Reynolds Inc,Max Schneider,Douglas and Lang LLC,Jazmyn Skyway,350,Wilford haven,Louisiana,0188,Bahamas,SEK,$93404,2023-12-12,Inactive,Carlo Rowe,18,modi,"adipisci, quo, rerum",Master's Degree,
EMP0009,Geoffrey,Lakin,ernie@example.org,938.993.5814 x353,853.995.5566,Schimmel Group,Waldo Johnston,Glover Group,Loraine Plaza,4170,Sporer mouth,Arizona,6116,Saint Lucia,CAD,$80191,2023-12-02,Active,Tony Crist,3,"quia, excepturi","quas, eligendi, quasi",Bachelor's Degree,
EMP0010,Hoyt,Moore,janis@example.net,1-237-246-0453 x047,725.211.6791,Hirthe and Sons,Margaretta Beahan,Weimann and Prosacco Inc,Rosemarie Well,675,Rashawn shire,Mississippi,08534,Algeria,BAM,$74301,2023-11-14,Inactive,Eugene Marks,4,"quod, aut","explicabo, ullam, ut",Bachelor's Degree,
