ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Beau,Ortiz,vilma@example.org,671.109.8585 x6898,372-093-8629,Green LLC,Kelsie Roob,Mann LLC,Rempel Oval,584,South Constance Hettinger burgh,Arkansas,67401,Italy,BOB,$54101,2022-11-03,Active,Fredrick Schulist,15,"magnam, sunt","omnis, consequuntur",Master's Degree,aut
EMP0002,Destiney,Kautzer,odie@example.net,592-307-6347 x086,372-250-3363,Trantow Group,Abigayle Gusikowski,Aufderhar Group,Eldora Mountain,95251,North Dovie Wolf mouth,South Carolina,3482,Hong Kong,KPW,$65900,2024-07-01,Inactive,Daniela Stehr,1,ducimus,"ipsum, aperiam",Bachelor's Degree,consequatur
EMP0003,Alessandro,Bailey,cesar@example.org,301-239-0432 x1817,1-723-999-1166,Franecki and Flatley and Sons,Nick Langworth,Wilderman and Fay Inc,Balistreri Divide,5403,Walter mouth,South Dakota,6574,Mali,JPY,$102964,2025-11-09,Inactive,Ronny Herman,15,voluptas,"quam, at, consequuntur",Master's Degree,labore
EMP0004,Arnoldo,Conroy,alexanne@example.com,(605) 784-6677 x097,1-813-216-7497,Johns Inc,Savion Cormier,Gislason and Gutkowski LLC,Zane Passage,80778,Uriel mouth,Maryland,125,Finland,BBD,$125011,2016-06-18,Inactive,Tamara Rohan,17,et,"magnam, expedita",Master's Degree,neque
EMP0005,Tina,Douglas,britney@example.net,269-551-8879 x11199,891-008-7990,Langosh and Hahn LLC,Gregg Senger,Pagac and Crona Inc,Rey Forks,43001,Deonte chester,Kentucky,4933,Tuvalu,JOD,$95534,2022-10-13,Active,Dixie Wuckert,5,impedit,"iure, tenetur",Master's Degree,quos
EMP0006,Julio,Stehr,jacinto@example.net,498.593.4022 x472,1-172-188-4308,Hegmann and Auer Inc,Ethelyn Schroeder,Mertz LLC,Rudolph Via,0218,Olson borough,Michigan,31035,Maldives,DZD,$51063,2023-01-07,Inactive,Kaylah Emmerich,15,"ut, pariatur","tempora, sint, numquam",Bachelor's Degree,
EMP0007,Oceane,Smith,amos@example.net,(309) 143-2037 x01830,(271) 856-1883,Nienow and Sons,Clinton Hartmann,Mosciski and McDermott Inc,Ethyl Groves,44404,Kamren bury,Oklahoma,422,Montserrat,KPW,$34030,2021-09-04,Inactive,Destini Ondricka,10,excepturi,"quasi, perferendis",Master's Degree,
EMP0008,Bo,Kling,friedrich@example.org,(448) 536-1090,(444) 257-7616,Kulas and Sons,Creola Kuphal,Moore and Schmidt LLC,Rahul Center,9064,Port Robbie Schamberger mouth,Alabama,9018,Panama,KRW,$35419,2019-04-01,Active,Jonathon Rippin,13,"tenetur, aliquam","ratione, eos",Master's Degree,tempore
EMP0009,Rosa,Cruickshank,gabe@example.org,420-051-1801 x88827,(413) 706-5369,Davis and Lemke Group,Emma Nienow,Leffler Inc,Westley Plains,689,Mante bury,West Virginia,2018,Madagascar,ZAR,$32577,2022-09-15,Active,Jaren Gleichner,8,"similique, libero","eos, soluta, reprehenderit",Bachelor's Degree,
EMP0010,Donato,Wolff,flavio@example.com,262-232-6942,1-436-380-3456,Okuneva Inc,Helene Nolan,Collins and Hettinger Group,Wilkinson Shore,10895,Alexys mouth,Pennsylvania,28064,Afghanistan,TJS,$148987,2025-02-17,Inactive,Etha Pagac,17,reiciendis,"provident, dolorem",Bachelor's Degree,
