ID,First Name,Last Name,Email,Phone,Mobile,Company,Job Title,Department,Street,Building,City,State,Zip Code,Country,Currency,Salary,Hire Date,Status,Manager,Team Size,Projects,Skills,Education,Certifications
EMP0001,Michael,Witting,sister@example.net,480-476-9286,(864) 471-4738,Olson Group,Rodolfo Lueilwitz,Brekke and Schinner Inc,Elizabeth Path,77129,South Leila Abbott berg,Pennsylvania,684,Chile,BSD,$72077,2016-02-13,Active,Bertram Von,5,"voluptate, sunt","ipsam, voluptatem, iure",Master's Degree,et
EMP0002,Dario,Deckow,cristal@example.org,(619) 561-9290 x49886,884-052-3779,Leffler and Boyle LLC,Lenny Goldner,Boyer Group,Larkin Mount,549,Ara mouth,Tennessee,530,Montserrat,LYD,$86310,2019-06-29,Active,Obie Dooley,2,"praesentium, voluptatem","unde, nulla",Master's Degree,
EMP0003,Deon,Schuster,ezequiel@example.net,230.426.4670 x7344,685-938-8049,Mertz LLC,Omari Moen,Adams and Sauer Inc,Hoppe Harbors,91943,Lake Mose Wuckert chester,Texas,585,Israel,BND,$146249,2017-12-02,Active,Celine Abernathy,15,nisi,"enim, eum",Master's Degree,
EMP0004,Liliane,Jacobson,janice@example.net,957.818.5500 x375,(127) 732-6269,Padberg and Medhurst and Sons,Ottis Konopelski,Kuhn and Durgan LLC,Huel Summit,303,Thompson shire,Arizona,260,Svalbard & Jan Mayen Islands,DJF,$113163,2021-12-15,Active,Giuseppe Murphy,8,libero,"qui, ipsa",Master's Degree,
EMP0005,Hunter,Cronin,tierra@example.com,(393) 614-5330 x300,1-382-631-6527,Kunde LLC,Napoleon Marvin,Batz and Sons,Mason Cove,97217,Kuvalis bury,Colorado,2626,Bulgaria,XCD,$130567,2023-10-03,Active,Katrine Price,10,minima,"et, esse, eligendi",Bachelor's Degree,
EMP0006,Julian,O'Connell,nicole@example.org,(125) 099-0006,155.512.9703,Weber LLC,Dayne Walsh,Denesik LLC,Mohammad Plaza,655,Hipolito furt,South Dakota,599,Gambia,NIO,$120203,2021-02-08,Inactive,Olaf Reynolds,4,suscipit,"iusto, voluptatum",Bachelor's Degree,
EMP0007,Lindsey,Weber,alayna@example.com,994.145.4058 x189,760-723-8341,McCullough and Kerluke LLC,Bertha O'Reilly,Blick Group,Jacinto Place,175,Max port,Pennsylvania,3021,Estonia,TWD,$139379,2023-01-01,Active,Dillan Johnston,15,repudiandae,"ut, autem, officia",Bachelor's Degree,
EMP0008,Carroll,Schamberger,vita@example.com,1-287-570-1822 x412,505-873-2048,Dooley and Will Inc,Madisen Friesen,Johnston LLC,Carolina Lakes,50935,Keeling port,Alaska,85156,Antigua and Barbuda,LKR,$91263,2016-01-28,Active,Cleve Green,6,temporibus,"rerum, harum",Bachelor's Degree,
EMP0009,Raegan,Bartoletti,malachi@example.com,1-566-300-4442 x4055,1-780-936-5835,Watsica Inc,Paige Heaney,Williamson and Huel and Sons,Walter Spring,814,Phyllis mouth,Utah,967,Macedonia,BYR,$107321,2018-07-13,Inactive,Wilton Berge,16,magnam,"eos, fugiat",Bachelor's Degree,ut
EMP0010,Myra,Auer,kendra@example.com,(692) 511-4889 x39085,694-716-4769,Dietrich and Gibson and Sons,Bennie Toy,Kub and Bergnaum Inc,Ankunding Circles,038,Stanley stad,Nevada,73293,Switzerland,BZD,$55965,2022-09-25,Inactive,Sylvia McDermott,16,"ut, consequatur","quaerat, minus, nihil",Bachelor's Degree,totam
